,repetition,k,M,N,Time,MSE,MSIE,A_EEE,Mean_abs_u,mean_square_ut,std_ut,dhm_stat,c_equivalent
0,0,10,200,2,0.013015023000207293,0.0011878875209478325,inf,1.0,inf,inf,,,[-100.]
1,1,10,200,2,0.01062071899991679,0.00154318546935258,0.00040152065404153045,0.010897060694096624,0.0405804220029577,0.0034201718431477357,0.058481908123781436,2.1076155261077787,[-0.02972585]
2,2,10,200,2,0.011064123000096515,0.001316592238745765,0.0003684983168463487,0.009141178028687268,0.041537978009622764,0.003126677529082451,0.055879709069355236,132.11767302514554,[0.22087744]
3,3,10,200,2,0.011549831999900562,0.0012797507319674318,0.00014023164038468725,0.007883503803600525,0.03609351599227138,0.0026977386927788363,0.05168522616018942,978.4712388373046,[-0.57744543]
4,4,10,200,2,0.014215430000149354,0.001197559629897271,8.4188187461405e-05,0.005582107496687923,0.03473436022981804,0.002531631029483627,0.05030956299984368,23.642744543965588,[-0.08887426]
5,0,10,500,2,0.020741438999948514,0.0009273066987667806,inf,1.0,inf,inf,,,[-100.]
6,1,10,500,2,0.018985392000104184,0.0013037363519136514,0.00014407669741926745,0.005035769754241315,0.03637579542462414,0.0032427303593852088,0.05691671468242476,99.33903658349116,[0.20350568]
7,2,10,500,2,0.031858763999935036,0.0011402252914285802,1.878773964861867e-05,0.0035407149878143606,0.033426349303826264,0.0024068807209544738,0.04897234975302314,355.5696447682221,[0.3328801]
8,3,10,500,2,0.021136237000064284,0.0011073888776977593,0.0003832682916490159,0.004829269793311946,0.03669160184963177,0.004235602910573514,0.06505457507906419,82.99361754268294,[0.21353425]
9,4,10,500,2,0.037365725000199745,0.0020542131475837517,0.0005413589530847584,0.010926125775384559,0.05117391888408148,0.007054670134297119,0.08350139858664266,1167.916467961128,[-1.030566]
10,0,10,1000,2,0.040876661999845965,0.0013227348188566714,2.5453101908037095e-05,0.0032929071295991364,0.034244562791975894,0.002402169922960088,0.048985979409138465,105.943677984958,[0.1821383]
11,1,10,1000,2,0.05601299700015261,0.0011928464066873342,2.7071998451551583e-05,0.0024542203963631073,0.03483850881638724,0.0026591964512810385,0.05155365563830009,53.782516358746946,[0.13623697]
12,2,10,1000,2,0.04164348699987386,0.001127195675154232,9.647217311741894e-05,0.0038407119413222178,0.035385034552860205,0.002938806222002277,0.05419284853124565,66.44180455052178,[0.1583408]
13,3,10,1000,2,0.03584561299999223,0.0012027635606879706,4.8794133539373184e-05,0.003946829295065931,0.03345232200570209,0.0023676456529944673,0.048642397025977065,66.39097728704577,[0.14288442]
14,4,10,1000,2,0.05858120799985045,0.001036181482497405,1.4946259289540658e-05,0.0026334869994612043,0.03375132027372123,0.0023125783001031346,0.04806821395673495,87.76777256197985,[-0.16200944]
15,0,10,5000,2,0.13973828000007416,0.0011839157541727824,5.2285174716549135e-06,0.001474137630539273,0.034664833458821855,0.002508424506164193,0.050079109017922785,21.027078044217593,[0.08274612]
16,1,10,5000,2,0.14285203999997975,0.0012584912954771504,7.086684773584746e-06,0.0015838533980875769,0.035088376884712384,0.0025010334356010194,0.05000759662711,11.835609392927578,[0.06170775]
17,2,10,5000,2,0.14646556899992902,0.0012298050529856424,8.02972552212674e-06,0.0015799440942160516,0.03515262547013904,0.0025650428749500716,0.050645155706021475,5.287266307195318,[0.04195563]
18,3,10,5000,2,0.14205429000003278,0.001185001389575166,2.1099852278601476e-05,0.002762109461976547,0.03457914170328773,0.0025524068331508535,0.05050532640487683,63.828315604686075,[0.14576765]
19,4,10,5000,2,0.14780996099989352,0.0011564020248292283,1.404102631169971e-05,0.0016723929163400876,0.035087556906134854,0.002633986827379048,0.051312079959815536,40.75357621350433,[0.11779364]
20,0,10,10000,2,0.28287949699983983,0.0011579855649797462,9.463919676420045e-06,0.0020602284842384856,0.03460257308170158,0.002544710966593159,0.05042589947162978,76.51579485841397,[0.15877904]
21,1,10,10000,2,0.32015302100012377,0.0012282048859060912,5.016336400393582e-06,0.0009518107862621492,0.03477395460087727,0.0024960690890632868,0.04995994024593974,3.9136116471660007,[0.03552732]
22,2,10,10000,2,0.3172467829999732,0.0011729393237388031,7.835582262253294e-06,0.001894312793397385,0.034464100116942294,0.0025054509553359967,0.050039486012352835,60.33652408886125,[0.13995559]
23,3,10,10000,2,0.3162608279999404,0.0011842091952687127,1.7697188219355785e-05,0.001559283974967429,0.034291928718363736,0.0025788100951285213,0.05077393739754827,32.388225503672366,[0.10403471]
24,4,10,10000,2,0.36693641400006527,0.0012445047396659199,4.0260800209670866e-06,0.0012193457421203918,0.03472346579546246,0.002476677296736938,0.04976567384602993,3.1986498996874366,[0.03198028]
25,0,10,20000,2,0.5719855690001623,0.0012045693578278478,4.47224766624902e-06,0.0011079881628574967,0.034663843378349726,0.002494209515862253,0.049939149903179075,12.544432715760976,[0.06365244]
26,1,10,20000,2,0.5798262169998907,0.0012330302288707207,4.107158221091659e-06,0.001064263548643269,0.034832685341647365,0.002485145821959954,0.049851252202442055,0.939282508423537,[-0.01738206]
27,2,10,20000,2,0.5559665519999726,0.0012143212093653263,3.8221364356567905e-06,0.001119900977577131,0.034628310224328926,0.002475248202876287,0.049751674687202506,1.7626617865767127,[0.02375985]
28,3,10,20000,2,0.553142267000112,0.0011658521517088267,4.606947811809303e-06,0.0013501334521978045,0.03434895547588297,0.0024765373914500412,0.04975870743864121,25.32739673330944,[0.09015806]
29,4,10,20000,2,0.5402448529998765,0.0012030557786193122,5.8282094735674955e-06,0.0012267455607490112,0.034694991407890174,0.0025298775615869187,0.05029340261584473,18.659883027462428,[0.07815199]
